;;;Gurobi;;;;;Hexaly;;;;;;MAB;;;;;BVNS;;;;
Group;Instance;Vmin;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T. Parl;Optimal;Feasible/opt;Desv;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T.;Optimal;Desv
huge;467-Randomized_vertices-0.15-dwt__758.hwb;0;;;;;0,00%;0;272;272;TRUE;HxSolutionStatus.OPTIMAL;0,00%;6;57;657,596;FALSE;600,00%;0,758;0;0;TRUE;0,00%
huge;468-Randomized_vertices-0.15-dwt__878.hwb;0;;;;;0,00%;5;3;600;FALSE;HxSolutionStatus.FEASIBLE;500,00%;6;81;642,538;FALSE;600,00%;0,878;2;2;TRUE;0,00%
huge;469-Randomized_vertices-0.15-dwt__918.hwb;0;;;;;0,00%;2;27;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;8;90;631,627;FALSE;800,00%;0,918;0;0;TRUE;0,00%
huge;479-Randomized_vertices-0.15-gr_30_30.hwb;0;;;;;0,00%;4;22;600;FALSE;HxSolutionStatus.FEASIBLE;400,00%;6;492;672,722;FALSE;600,00%;0,9;0;0;TRUE;0,00%
huge;5000soc-sign-epinions.txt;256;;;;;-99,61%;256;598;600;FALSE;HxSolutionStatus.FEASIBLE;0,00%;833;612;727,55;FALSE;224,51%;260,0001;598;616;FALSE;1,56%
huge;500-Randomized_vertices-0.15-nos2.hwb;0;;;;;0,00%;0;153;153;TRUE;HxSolutionStatus.OPTIMAL;0,00%;2;0;654,783;FALSE;200,00%;0,957;0;0;TRUE;0,00%
huge;548-Randomized_vertices-0.25-bcsstk19.hwb;0;;;;;0,00%;2;190;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;6;153;612,89;FALSE;600,00%;0,817;1;1;TRUE;0,00%
huge;574-Randomized_vertices-0.25-dwt__878.hwb;0;;;;;0,00%;5;459;600;FALSE;HxSolutionStatus.FEASIBLE;500,00%;6;397;642,687;FALSE;600,00%;0,878;0;0;TRUE;0,00%
huge;575-Randomized_vertices-0.25-dwt__918.hwb;0;;;;;0,00%;3;121;600;FALSE;HxSolutionStatus.FEASIBLE;300,00%;7;90;681,725;FALSE;700,00%;0,918;0;0;TRUE;0,00%
huge;585-Randomized_vertices-0.25-gr_30_30.hwb;0;;;;;0,00%;4;19;600;FALSE;HxSolutionStatus.FEASIBLE;400,00%;6;86;680,735;FALSE;600,00%;0,9;0;0;TRUE;0,00%
